"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","1,895.10","1,899.00","1,904.90","1,889.10","130.63K","0.09%"
"12/30/2020","1,893.40","1,881.80","1,899.00","1,879.50","133.66K","0.69%"
"12/29/2020","1,880.50","1,880.00","1,886.30","1,874.40","0.34K","0.14%"
"12/28/2020","1,877.90","1,884.40","1,900.80","1,874.10","1.31K","-0.15%"
"12/24/2020","1,880.70","1,874.10","1,882.10","1,871.10","0.20K","0.27%"
"12/23/2020","1,875.60","1,862.20","1,880.10","1,859.80","0.50K","0.42%"
"12/22/2020","1,867.70","1,883.70","1,885.40","1,861.60","0.56K","-0.67%"
"12/21/2020","1,880.30","1,890.30","1,908.50","1,857.20","1.06K","-0.33%"
"12/18/2020","1,886.50","1,887.10","1,892.70","1,879.90","0.59K","-0.07%"
"12/17/2020","1,887.90","1,866.70","1,898.30","1,864.10","1.32K","1.66%"
"12/16/2020","1,857.00","1,853.50","1,867.10","1,846.20","0.58K","0.21%"
"12/15/2020","1,853.20","1,827.90","1,856.10","1,827.70","0.74K","1.28%"
"12/14/2020","1,829.80","1,838.70","1,839.80","1,821.10","0.61K","-0.63%"
"12/11/2020","1,841.40","1,838.30","1,849.40","1,827.70","0.53K","0.34%"
"12/10/2020","1,835.20","1,840.30","1,851.20","1,831.30","0.74K","-0.05%"
"12/09/2020","1,836.10","1,872.00","1,872.00","1,826.80","1.05K","-1.93%"
"12/08/2020","1,872.30","1,864.10","1,877.00","1,861.70","0.89K","0.48%"
"12/07/2020","1,863.30","1,838.40","1,870.20","1,823.00","1.17K","1.40%"
"12/04/2020","1,837.50","1,842.30","1,850.10","1,830.20","1.25K","-0.05%"
"12/03/2020","1,838.40","1,830.50","1,844.00","1,824.00","1.37K","0.59%"
"12/02/2020","1,827.60","1,814.60","1,833.00","1,808.10","1.75K","0.61%"
"12/01/2020","1,816.60","1,777.50","1,818.30","1,776.40","1.66K","2.17%"
"11/30/2020","1,778.00","1,787.40","1,789.90","1,764.90","1.61K","-0.38%"
"11/27/2020","1,784.80","1,809.90","1,820.00","1,772.90","6.58K","-0.18%"
"11/26/2020","1,788.10","1,812.10","1,822.60","1,776.50","282.35K","-0.96%"
"11/25/2020","1,805.50","1,805.20","1,816.30","1,798.60","205.75K","0.05%"
"11/24/2020","1,804.60","1,835.70","1,836.90","1,797.10","367.88K","-1.81%"
"11/23/2020","1,837.80","1,869.80","1,875.00","1,828.00","319.66K","-1.85%"
"11/20/2020","1,872.40","1,864.80","1,879.20","1,859.10","186.17K","0.59%"
"11/19/2020","1,861.50","1,872.00","1,872.60","1,850.00","222.35K","-0.66%"
"11/18/2020","1,873.90","1,879.50","1,884.20","1,860.30","209.00K","-0.59%"
"11/17/2020","1,885.10","1,888.20","1,892.70","1,876.30","160.88K","-0.14%"
"11/16/2020","1,887.80","1,886.60","1,898.00","1,861.50","222.94K","0.08%"
"11/13/2020","1,886.20","1,875.60","1,895.80","1,872.10","162.54K","0.69%"
"11/12/2020","1,873.30","1,863.90","1,883.00","1,860.70","209.93K","0.63%"
"11/11/2020","1,861.60","1,876.10","1,882.50","1,853.90","215.17K","-0.79%"
"11/10/2020","1,876.40","1,864.10","1,888.90","1,858.90","264.87K","1.19%"
"11/09/2020","1,854.40","1,956.00","1,966.10","1,848.00","496.09K","-4.99%"
"11/06/2020","1,951.70","1,950.00","1,961.80","1,937.20","246.78K","0.25%"
"11/05/2020","1,946.80","1,903.40","1,954.30","1,902.20","297.51K","2.67%"
"11/04/2020","1,896.20","1,910.30","1,917.90","1,881.80","293.95K","-0.74%"
"11/03/2020","1,910.40","1,896.40","1,912.20","1,887.60","171.37K","0.95%"
"11/02/2020","1,892.50","1,877.00","1,897.10","1,873.30","164.94K","0.67%"
"10/30/2020","1,879.90","1,867.90","1,890.90","1,863.30","213.17K","0.64%"
"10/29/2020","1,868.00","1,877.50","1,885.10","1,859.20","225.16K","-0.45%"
"10/28/2020","1,876.50","1,908.00","1,909.80","1,867.90","0.28K","-1.71%"
"10/27/2020","1,909.20","1,901.30","1,910.80","1,898.40","0.33K","0.32%"
"10/26/2020","1,903.10","1,902.10","1,908.00","1,890.80","0.28K","0.04%"
"10/23/2020","1,902.30","1,904.30","1,913.70","1,893.00","0.39K","0.04%"
"10/22/2020","1,901.60","1,924.00","1,925.40","1,891.90","1.13K","-1.25%"
"10/21/2020","1,925.70","1,909.00","1,932.00","1,908.50","0.89K","0.74%"
"10/20/2020","1,911.60","1,902.20","1,913.60","1,893.60","0.37K","0.20%"
"10/19/2020","1,907.70","1,899.60","1,919.00","1,896.90","0.51K","0.28%"
"10/16/2020","1,902.40","1,908.40","1,913.40","1,897.80","0.27K","-0.13%"
"10/15/2020","1,904.90","1,902.00","1,909.20","1,889.00","0.49K","0.09%"
"10/14/2020","1,903.10","1,891.30","1,912.80","1,880.90","0.41K","0.68%"
"10/13/2020","1,890.20","1,923.70","1,925.10","1,885.90","0.80K","-1.77%"
"10/12/2020","1,924.30","1,930.90","1,933.30","1,920.00","0.44K","0.12%"
"10/09/2020","1,921.90","1,894.80","1,932.00","1,894.80","0.97K","1.63%"
"10/08/2020","1,891.00","1,886.80","1,900.40","1,881.70","0.70K","0.22%"
"10/07/2020","1,886.80","1,879.90","1,897.40","1,873.20","0.44K","-0.94%"
"10/06/2020","1,904.80","1,913.70","1,922.00","1,875.10","1.05K","-0.59%"
"10/05/2020","1,916.10","1,906.70","1,920.00","1,887.70","0.66K","0.65%"
"10/02/2020","1,903.80","1,907.00","1,919.00","1,893.00","0.81K","-0.44%"
"10/01/2020","1,912.30","1,888.00","1,913.90","1,886.00","0.75K","1.11%"
"09/30/2020","1,891.30","1,898.90","1,903.60","1,882.10","0.55K","-0.39%"
"09/29/2020","1,898.70","1,881.20","1,899.90","1,877.60","0.53K","1.38%"
"09/28/2020","1,872.80","1,855.60","1,878.40","1,843.20","10.46K","0.81%"
"09/25/2020","1,857.80","1,866.20","1,870.60","1,846.00","10.59K","-0.59%"
"09/24/2020","1,868.90","1,859.40","1,872.80","1,843.00","19.91K","0.45%"
"09/23/2020","1,860.50","1,895.00","1,901.60","1,848.00","18.93K","-2.04%"
"09/22/2020","1,899.30","1,909.10","1,916.80","1,890.70","11.15K","-0.15%"
"09/21/2020","1,902.10","1,948.30","1,954.10","1,878.50","18.21K","-2.62%"
"09/18/2020","1,953.20","1,944.00","1,959.10","1,942.90","6.45K","0.61%"
"09/17/2020","1,941.30","1,959.60","1,960.50","1,930.20","12.10K","-1.06%"
"09/16/2020","1,962.00","1,954.30","1,975.40","1,949.10","11.67K","0.20%"
"09/15/2020","1,958.00","1,957.60","1,973.80","1,947.70","18.10K","0.17%"
"09/14/2020","1,954.70","1,940.30","1,963.60","1,937.00","6.70K","0.78%"
"09/11/2020","1,939.50","1,945.00","1,954.60","1,936.20","8.09K","-0.84%"
"09/10/2020","1,956.00","1,947.50","1,966.60","1,940.40","11.35K","0.47%"
"09/09/2020","1,946.80","1,932.00","1,951.40","1,918.80","8.35K","0.60%"
"09/08/2020","1,935.10","1,930.00","1,940.20","1,904.60","15.62K","-0.42%"
"09/07/2020","1,943.20","1,938.00","1,948.30","1,911.70","416.01K","0.88%"
"09/04/2020","1,926.20","1,931.90","1,948.80","1,914.60","10.62K","-0.21%"
"09/03/2020","1,930.20","1,941.80","1,948.40","1,919.70","8.94K","-0.35%"
"09/02/2020","1,936.90","1,967.90","1,972.40","1,931.50","10.84K","-1.72%"
"09/01/2020","1,970.80","1,965.90","1,992.50","1,961.20","10.95K","0.02%"
"08/31/2020","1,970.50","1,966.70","1,977.70","1,955.00","7.16K","0.19%"
"08/28/2020","1,966.80","1,930.10","1,974.90","1,921.20","11.76K","2.31%"
"08/27/2020","1,922.30","1,950.90","1,973.80","1,907.70","2.30K","-1.00%"
"08/26/2020","1,941.70","1,927.60","1,952.60","1,899.10","3.29K","1.53%"
"08/25/2020","1,912.50","1,925.40","1,932.90","1,909.40","1.66K","-0.83%"
"08/24/2020","1,928.60","1,937.20","1,959.20","1,920.10","1.41K","-0.38%"
"08/21/2020","1,936.00","1,945.80","1,950.40","1,908.20","1.73K","0.03%"
"08/20/2020","1,935.40","1,924.60","1,951.50","1,920.00","2.07K","-1.28%"
"08/19/2020","1,960.50","2,001.50","2,003.00","1,920.80","2.83K","-2.05%"
"08/18/2020","2,001.60","1,981.60","2,013.00","1,973.60","1.70K","0.73%"
"08/17/2020","1,987.10","1,945.20","1,988.60","1,930.80","1.77K","2.49%"
"08/14/2020","1,938.80","1,952.10","1,958.30","1,930.20","1.26K","-1.05%"
"08/13/2020","1,959.30","1,918.60","1,963.50","1,911.70","2.50K","1.13%"
"08/12/2020","1,937.50","1,910.20","1,948.70","1,863.70","4.16K","0.09%"
"08/11/2020","1,935.70","2,024.20","2,027.00","1,900.90","6.16K","-4.52%"
"08/10/2020","2,027.30","2,032.00","2,047.30","2,015.70","2.55K","0.65%"
"08/07/2020","2,014.30","2,062.40","2,074.00","2,011.00","4.37K","-1.96%"
"08/06/2020","2,054.60","2,036.90","2,065.10","2,033.60","2.61K","1.07%"
"08/05/2020","2,032.90","2,020.20","2,053.50","2,011.20","4.75K","1.43%"
"08/04/2020","2,004.20","1,976.60","2,020.50","1,968.10","3.91K","1.76%"
"08/03/2020","1,969.50","1,979.70","1,992.10","1,958.50","2.82K","0.08%"
"07/31/2020","1,968.00","1,957.00","1,985.70","1,954.30","5.17K","0.95%"
"07/30/2020","1,949.50","1,970.80","1,971.10","1,936.40","5.71K","-0.20%"
"07/29/2020","1,953.40","1,950.60","1,974.90","1,935.20","209.84K","0.45%"
"07/28/2020","1,944.60","1,937.10","1,974.70","1,900.20","434.45K","0.70%"
"07/27/2020","1,931.00","1,901.20","1,941.90","1,899.00","428.23K","1.77%"
"07/24/2020","1,897.50","1,884.90","1,904.60","1,880.50","300.17K","0.40%"
"07/23/2020","1,890.00","1,871.60","1,897.70","1,863.10","418.75K","1.34%"
"07/22/2020","1,865.10","1,842.80","1,871.80","1,842.10","382.23K","1.15%"
"07/21/2020","1,843.90","1,819.60","1,844.90","1,817.20","271.09K","1.46%"
"07/20/2020","1,817.40","1,812.30","1,823.40","1,806.60","177.74K","0.41%"
"07/17/2020","1,810.00","1,796.90","1,813.90","1,795.20","167.01K","0.54%"
"07/16/2020","1,800.30","1,813.10","1,816.20","1,794.10","196.57K","-0.74%"
"07/15/2020","1,813.80","1,811.10","1,819.50","1,804.00","183.06K","0.02%"
"07/14/2020","1,813.40","1,805.20","1,815.00","1,791.10","253.21K","-0.04%"
"07/13/2020","1,814.10","1,803.40","1,818.80","1,802.10","230.40K","0.68%"
"07/10/2020","1,801.90","1,808.40","1,817.00","1,796.50","223.83K","-0.11%"
"07/09/2020","1,803.80","1,818.80","1,825.50","1,799.60","283.37K","-0.92%"
"07/08/2020","1,820.60","1,807.90","1,829.80","1,803.80","247.50K","0.59%"
"07/07/2020","1,809.90","1,793.90","1,810.80","1,781.20","221.73K","0.91%"
"07/06/2020","1,793.50","1,787.90","1,799.00","1,779.20","184.65K","0.00%"
