"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2020","3,289.02","3,276.04","3,294.62","3,267.39","","0.44%"
"12/29/2020","3,274.67","3,269.71","3,282.23","3,264.33","","0.48%"
"12/28/2020","3,258.95","3,249.41","3,267.61","3,249.41","","0.39%"
"12/25/2020","3,246.35","3,236.38","3,248.63","3,228.74","","0.29%"
"12/24/2020","3,236.88","3,253.73","3,264.60","3,230.62","","-0.47%"
"12/23/2020","3,252.10","3,224.02","3,255.40","3,218.19","","0.48%"
"12/22/2020","3,236.46","3,179.69","3,249.19","3,175.51","","1.57%"
"12/21/2020","3,186.38","3,246.90","3,246.90","3,170.03","","-2.67%"
"12/18/2020","3,273.75","3,281.59","3,283.32","3,245.25","","-0.27%"
"12/17/2020","3,282.67","3,277.67","3,318.39","3,274.45","","0.39%"
"12/16/2020","3,269.95","3,259.89","3,275.68","3,242.70","","0.67%"
"12/15/2020","3,248.11","3,252.68","3,284.84","3,237.87","","-0.21%"
"12/14/2020","3,254.83","3,293.00","3,314.20","3,249.36","","-0.66%"
"12/11/2020","3,276.58","3,257.47","3,278.24","3,248.11","","0.56%"
"12/10/2020","3,258.31","3,194.03","3,258.31","3,189.04","","1.45%"
"12/09/2020","3,211.66","3,184.24","3,226.48","3,182.54","","1.01%"
"12/08/2020","3,179.61","3,184.93","3,198.10","3,150.84","","-0.48%"
"12/07/2020","3,195.08","3,179.14","3,208.53","3,172.29","","0.33%"
"12/04/2020","3,184.72","3,171.44","3,200.23","3,171.44","","0.70%"
"12/03/2020","3,162.67","3,185.78","3,192.98","3,141.40","","-0.84%"
"12/02/2020","3,189.61","3,150.66","3,189.61","3,139.92","","1.33%"
"12/01/2020","3,147.79","3,113.06","3,159.03","3,113.06","","1.29%"
"11/30/2020","3,107.58","3,130.88","3,134.79","3,093.77","","-1.12%"
"11/27/2020","3,142.68","3,132.55","3,150.78","3,112.44","","0.13%"
"11/26/2020","3,138.62","3,141.43","3,149.90","3,119.46","","0.13%"
"11/25/2020","3,134.52","3,111.75","3,134.71","3,089.16","","1.25%"
"11/24/2020","3,095.84","3,071.80","3,098.83","3,053.16","","1.60%"
"11/23/2020","3,047.06","3,066.64","3,094.06","3,042.61","","-0.13%"
"11/20/2020","3,051.04","3,050.81","3,060.91","3,035.56","","0.15%"
"11/19/2020","3,046.49","3,067.06","3,071.25","3,040.66","","-1.11%"
"11/18/2020","3,080.68","3,046.02","3,086.77","3,035.57","","0.93%"
"11/17/2020","3,052.22","3,081.05","3,087.19","3,027.76","","-0.89%"
"11/16/2020","3,079.74","3,054.35","3,081.28","3,046.77","","1.80%"
"11/13/2020","3,025.22","3,007.16","3,027.45","2,995.17","","-0.02%"
"11/12/2020","3,025.83","2,997.79","3,028.52","2,988.03","","0.36%"
"11/11/2020","3,015.03","3,004.63","3,031.69","3,004.20","","0.55%"
"11/10/2020","2,998.61","2,965.92","3,013.57","2,943.43","","0.36%"
"11/09/2020","2,987.75","2,919.08","2,988.88","2,910.42","","3.18%"
"11/06/2020","2,895.62","2,845.74","2,896.07","2,832.98","","1.20%"
"11/05/2020","2,861.39","2,824.45","2,869.91","2,812.67","","2.69%"
"11/03/2020","2,786.42","2,753.97","2,791.77","2,750.26","","1.79%"
"11/02/2020","2,737.54","2,681.19","2,743.98","2,658.49","","1.74%"
"10/30/2020","2,690.59","2,698.94","2,706.34","2,664.44","","-0.68%"
"10/29/2020","2,709.04","2,704.50","2,728.97","2,682.68","","0.58%"
"10/28/2020","2,693.46","2,758.84","2,758.84","2,680.83","","-2.52%"
"10/27/2020","2,763.03","2,784.13","2,790.19","2,758.00","","-0.81%"
"10/26/2020","2,785.59","2,812.48","2,819.05","2,785.59","","-1.10%"
"10/23/2020","2,816.70","2,807.30","2,826.53","2,799.63","","0.48%"
"10/22/2020","2,803.17","2,784.18","2,814.12","2,783.37","","0.61%"
"10/21/2020","2,786.23","2,811.87","2,816.90","2,782.36","","-0.60%"
"10/20/2020","2,803.06","2,785.99","2,817.73","2,774.16","","0.31%"
"10/19/2020","2,794.27","2,797.65","2,809.42","2,787.50","","-0.19%"
"10/16/2020","2,799.54","2,819.04","2,819.04","2,785.85","","-0.63%"
"10/15/2020","2,817.29","2,849.24","2,850.11","2,803.90","","-1.36%"
"10/14/2020","2,856.08","2,829.88","2,857.47","2,824.12","","0.95%"
"10/13/2020","2,829.23","2,846.04","2,859.52","2,822.97","","-0.59%"
"10/12/2020","2,846.14","2,834.33","2,862.36","2,827.52","","0.43%"
"10/09/2020","2,834.09","2,842.59","2,842.59","2,811.05","","-0.43%"
