"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","373.88","371.78","374.66","371.23","78.52M","0.51%"
"12/30/2020","371.99","372.34","373.10","371.57","49.46M","0.14%"
"12/29/2020","371.46","373.81","374.00","370.83","53.68M","-0.19%"
"12/28/2020","372.17","371.74","372.59","371.07","39.00M","0.86%"
"12/24/2020","369.00","368.08","369.03","367.45","26.46M","0.39%"
"12/23/2020","367.57","368.28","369.62","367.22","46.20M","0.09%"
"12/22/2020","367.24","368.21","368.33","366.03","48.39M","-0.17%"
"12/21/2020","367.86","364.97","378.46","362.03","96.39M","-0.36%"
"12/18/2020","369.18","370.97","371.15","367.02","136.54M","-0.82%"
"12/17/2020","372.24","371.94","372.46","371.05","64.12M","0.56%"
"12/16/2020","370.17","369.82","371.16","368.87","58.42M","0.16%"
"12/15/2020","369.59","367.40","369.59","365.92","64.07M","1.35%"
"12/14/2020","364.66","368.64","369.80","364.47","69.22M","-0.45%"
"12/11/2020","366.30","364.90","366.74","363.26","57.70M","-0.12%"
"12/10/2020","366.73","365.37","367.86","364.43","57.74M","-0.03%"
"12/09/2020","366.85","370.88","371.05","365.95","74.10M","-0.90%"
"12/08/2020","370.17","367.72","370.78","367.67","42.46M","0.29%"
"12/07/2020","369.09","369.02","369.62","367.72","48.94M","-0.21%"
"12/04/2020","369.85","367.32","369.85","367.22","50.75M","0.86%"
"12/03/2020","366.69","366.68","368.19","365.50","62.88M","-0.03%"
"12/02/2020","366.79","364.82","366.96","364.20","45.93M","0.21%"
"12/01/2020","366.02","365.57","367.68","364.93","74.50M","1.09%"
"11/30/2020","362.06","362.83","363.12","359.17","83.87M","-0.44%"
"11/27/2020","363.67","363.84","364.18","362.58","28.51M","0.28%"
"11/25/2020","362.66","363.13","363.16","361.48","45.33M","-0.15%"
"11/24/2020","363.22","360.21","363.81","359.29","62.42M","1.61%"
"11/23/2020","357.46","357.28","358.82","354.87","63.23M","0.60%"
"11/20/2020","355.33","357.50","357.72","355.25","70.41M","-0.68%"
"11/19/2020","357.78","355.60","358.18","354.15","59.94M","0.42%"
"11/18/2020","356.28","360.91","361.50","356.24","70.59M","-1.20%"
"11/17/2020","360.62","359.97","361.92","358.34","66.11M","-0.54%"
"11/16/2020","362.57","360.98","362.78","359.59","74.54M","1.25%"
"11/13/2020","358.10","355.27","358.90","354.71","62.96M","1.38%"
"11/12/2020","353.21","355.58","356.72","351.26","68.12M","-0.97%"
"11/11/2020","356.67","356.40","357.56","355.06","58.65M","0.74%"
"11/10/2020","354.04","353.49","355.18","350.51","85.55M","-0.15%"
"11/09/2020","354.56","363.97","364.38","354.06","172.30M","1.26%"
"11/06/2020","350.16","349.93","351.51","347.65","74.97M","-0.02%"
"11/05/2020","350.24","349.24","352.19","348.86","82.04M","1.95%"
"11/04/2020","343.54","340.86","347.94","339.59","126.96M","2.23%"
"11/03/2020","336.03","333.69","338.25","330.29","93.29M","1.77%"
"11/02/2020","330.20","330.20","332.36","327.24","86.07M","1.12%"
"10/30/2020","326.54","328.28","329.69","322.60","120.45M","-1.04%"
"10/29/2020","329.98","326.91","333.39","325.09","90.60M","1.02%"
"10/28/2020","326.66","332.10","338.25","326.13","127.09M","-3.42%"
"10/27/2020","338.22","339.76","340.12","337.99","65.99M","-0.34%"
"10/26/2020","339.39","342.13","342.98","335.62","91.47M","-1.85%"
"10/23/2020","345.78","345.93","345.99","343.13","49.14M","0.34%"
"10/22/2020","344.61","342.96","345.24","340.65","55.40M","0.55%"
"10/21/2020","342.73","343.33","348.68","342.40","63.57M","-0.19%"
