"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","73.7900","74.3908","75.2993","73.7410","","-0.47%"
"12/30/2020","74.1376","74.0030","74.9982","73.3765","","0.37%"
"12/29/2020","73.8610","73.7760","74.2604","73.3695","","0.51%"
"12/28/2020","73.4843","74.2000","74.3730","73.4953","","-0.71%"
"12/25/2020","74.0100","74.0255","74.2566","73.6075","","0.26%"
"12/24/2020","73.8160","75.0020","75.3810","73.8113","","-1.44%"
"12/23/2020","74.8930","75.8855","76.1140","74.7185","","-1.25%"
"12/22/2020","75.8420","74.7050","76.0663","74.5620","","1.72%"
"12/21/2020","74.5580","74.0998","75.5087","73.6779","","1.91%"
"12/18/2020","73.1600","72.9825","73.9263","72.8476","","0.42%"
"12/17/2020","72.8550","73.4513","73.5814","72.6445","","-0.43%"
"12/16/2020","73.1667","73.1420","73.7368","73.0758","","0.45%"
"12/15/2020","72.8381","73.8285","74.2000","73.0091","","-1.10%"
"12/14/2020","73.6456","73.1755","74.0455","72.7838","","1.02%"
"12/11/2020","72.9031","73.1000","73.4410","72.8630","","-0.13%"
"12/10/2020","73.0000","73.6340","74.0001","72.9460","","-0.78%"
"12/09/2020","73.5740","73.4413","74.0875","73.1539","","0.33%"
"12/08/2020","73.3320","73.7440","74.0883","73.0365","","-0.42%"
"12/07/2020","73.6425","74.2495","74.5338","73.2799","","-0.48%"
"12/04/2020","73.9980","74.4825","74.7279","73.7567","","-0.35%"
"12/03/2020","74.2575","75.1239","75.4090","74.2543","","-0.94%"
"12/02/2020","74.9625","75.7938","76.1987","75.0043","","-1.06%"
"12/01/2020","75.7647","76.4500","76.5333","75.5323","","-0.74%"
"11/30/2020","76.3282","76.2495","76.6756","75.7662","","0.69%"
"11/27/2020","75.8050","75.6669","76.3558","75.5736","","0.27%"
"11/26/2020","75.5977","75.5797","75.8593","75.3049","","0.18%"
"11/25/2020","75.4610","75.5238","76.0191","75.3110","","0.10%"
"11/24/2020","75.3850","76.0763","76.2850","75.3440","","-0.87%"
"11/23/2020","76.0450","76.1313","76.6039","75.5686","","-0.01%"
"11/20/2020","76.0500","76.1000","76.5445","75.8338","","-0.01%"
"11/19/2020","76.0600","75.9800","76.6665","75.8569","","0.28%"
"11/18/2020","75.8493","76.2750","76.5734","75.5240","","-0.41%"
"11/17/2020","76.1590","76.3600","76.8035","76.0448","","0.07%"
"11/16/2020","76.1058","77.4000","77.5105","76.0904","","-1.35%"
"11/13/2020","77.1510","77.1706","77.7598","76.9858","","0.08%"
"11/12/2020","77.0860","77.0735","77.8153","76.6200","","0.10%"
"11/11/2020","77.0100","76.5325","77.2302","76.0438","","0.82%"
"11/10/2020","76.3825","76.3610","76.9788","76.0688","","0.15%"
"11/09/2020","76.2690","77.5250","77.7012","75.7445","","-1.23%"
"11/06/2020","77.2190","76.8515","77.9563","76.6436","","0.66%"
"11/05/2020","76.7150","77.5945","78.8263","76.7120","","-0.96%"
"11/04/2020","77.4572","79.1805","79.8620","77.4350","","-1.99%"
"11/03/2020","79.0310","80.5235","80.7492","79.0058","","-1.64%"
"11/02/2020","80.3523","79.4503","80.9965","79.3465","","1.26%"
"10/30/2020","79.3540","78.8825","79.6948","78.6650","","0.75%"
"10/29/2020","78.7620","79.0183","79.6585","78.5822","","-0.17%"
"10/28/2020","78.8968","77.1725","79.3428","77.0391","","2.39%"
"10/27/2020","77.0547","76.4284","77.3572","76.1870","","1.03%"
"10/26/2020","76.2675","76.2262","76.6637","75.9976","","0.22%"
"10/23/2020","76.1000","76.6040","76.9600","76.0834","","-0.37%"
"10/22/2020","76.3837","76.7413","77.6517","76.3666","","-0.26%"
"10/21/2020","76.5813","77.2588","77.4750","76.5590","","-0.73%"
"10/20/2020","77.1420","77.7935","78.1198","77.2110","","-0.42%"
"10/19/2020","77.4660","77.8640","78.1913","77.3953","","-0.35%"
"10/16/2020","77.7380","77.9632","78.5138","77.6911","","-0.11%"
"10/15/2020","77.8200","77.7963","78.5146","77.5144","","0.30%"
"10/14/2020","77.5860","77.0493","77.8650","76.8622","","0.91%"
"10/13/2020","76.8900","77.0218","77.4762","76.7234","","0.15%"
"10/12/2020","76.7736","76.9000","77.3100","76.6884","","0.16%"
"10/09/2020","76.6500","77.4068","77.4707","76.6576","","-0.74%"
"10/08/2020","77.2234","78.0606","78.2458","77.2543","","-0.94%"
"10/07/2020","77.9575","78.4250","78.5364","77.8927","","-0.52%"
"10/06/2020","78.3654","78.1434","78.7058","77.6050","","0.39%"
"10/05/2020","78.0641","78.3350","78.9438","77.8200","","0.00%"
"10/02/2020","78.0610","77.2453","78.8627","76.8790","","1.46%"
"10/01/2020","76.9388","77.6553","77.8530","76.9500","","-0.76%"
"09/30/2020","77.5275","79.0850","79.4613","77.5374","","-1.80%"
"09/29/2020","78.9497","79.0354","80.0213","78.4462","","-0.09%"
"09/28/2020","79.0230","78.0738","79.3333","77.9381","","1.23%"
"09/25/2020","78.0650","77.0774","78.5630","76.6342","","1.60%"
"09/24/2020","76.8339","77.0395","77.5474","76.6425","","-0.20%"
"09/23/2020","76.9890","76.0894","77.1620","75.7898","","1.45%"
"09/22/2020","75.8853","76.2256","76.6846","75.5965","","-0.30%"
"09/21/2020","76.1160","75.8000","76.6600","75.3208","","0.60%"
"09/18/2020","75.6640","75.1219","75.8295","74.7847","","0.98%"
"09/17/2020","74.9296","74.9014","75.4972","74.7218","","0.46%"
"09/16/2020","74.5875","75.0031","75.4607","74.6238","","-0.40%"
"09/15/2020","74.8900","75.3293","75.4855","74.8363","","-0.39%"
"09/14/2020","75.1800","74.9013","75.5470","74.5620","","0.55%"
"09/11/2020","74.7700","75.1508","75.3231","74.7425","","-0.30%"
"09/10/2020","74.9979","75.3049","75.6847","74.6594","","-0.27%"
"09/09/2020","75.2013","76.2272","76.5447","75.2301","","-1.31%"
"09/08/2020","76.1971","75.7645","76.5869","75.5176","","0.78%"
"09/07/2020","75.6047","75.3037","76.2600","75.1893","","0.53%"
"09/04/2020","75.2070","75.2923","75.7143","74.9300","","-0.01%"
"09/03/2020","75.2175","75.4698","75.8945","74.8671","","0.09%"
"09/02/2020","75.1463","73.6909","75.7563","73.4236","","2.45%"
"09/01/2020","73.3486","73.9322","74.0532","73.3555","","-0.62%"
"08/31/2020","73.8085","74.1550","74.6212","73.5975","","-0.26%"
"08/28/2020","74.0020","75.0864","75.2368","73.9862","","-0.94%"
"08/27/2020","74.7025","75.5040","75.7829","74.6995","","-0.99%"
"08/26/2020","75.4490","75.1775","76.0349","75.0766","","0.44%"
"08/25/2020","75.1180","74.7138","75.7716","74.2712","","0.86%"
"08/24/2020","74.4800","74.8159","74.9916","74.1600","","-0.35%"
"08/21/2020","74.7450","73.8439","75.0682","73.6565","","1.33%"
"08/20/2020","73.7653","73.3629","74.1955","73.0585","","0.70%"
"08/19/2020","73.2521","73.0888","73.6305","72.9066","","0.36%"
"08/18/2020","72.9875","73.6832","73.9661","72.9375","","-0.80%"
"08/17/2020","73.5770","73.0448","73.8619","72.7394","","1.13%"
"08/14/2020","72.7550","72.9103","73.5334","72.7668","","-0.09%"
"08/13/2020","72.8194","73.5355","73.9564","72.8157","","-1.08%"
"08/12/2020","73.6175","73.0775","73.9856","72.9550","","0.86%"
"08/11/2020","72.9888","73.5163","73.7091","72.6880","","-0.55%"
"08/10/2020","73.3926","73.7955","74.0410","73.0393","","-0.27%"
"08/07/2020","73.5900","73.3018","73.9630","73.1294","","0.40%"
"08/06/2020","73.3000","73.0185","73.6156","72.6200","","0.50%"
"08/05/2020","72.9350","73.5612","73.6847","72.6315","","-0.51%"
"08/04/2020","73.3059","73.1345","74.0326","72.8883","","0.49%"
"08/03/2020","72.9503","74.0949","74.6410","73.0325","","-1.71%"
"07/31/2020","74.2200","73.1263","74.5517","73.0699","","1.69%"
"07/30/2020","72.9850","72.5260","73.7911","72.3791","","0.71%"
"07/29/2020","72.4733","72.5085","72.8918","72.0658","","0.06%"
"07/28/2020","72.4290","71.6050","72.7000","71.4805","","1.31%"
"07/27/2020","71.4950","71.7760","72.0001","71.4200","","-0.05%"
"07/24/2020","71.5325","71.4513","72.0020","71.1570","","0.20%"
"07/23/2020","71.3900","71.0938","71.6328","70.7797","","0.58%"
"07/22/2020","70.9750","70.6662","71.3105","70.5538","","0.63%"
"07/21/2020","70.5296","71.4492","71.6213","70.5193","","-1.12%"
"07/20/2020","71.3261","71.8170","72.1802","71.3095","","-0.58%"
"07/17/2020","71.7430","71.5751","72.0455","71.3944","","0.48%"
"07/16/2020","71.3986","70.9425","71.6691","70.6735","","0.88%"
"07/15/2020","70.7740","70.9821","71.2394","70.6200","","-0.15%"
"07/14/2020","70.8825","71.0483","71.3506","70.7450","","0.02%"
"07/13/2020","70.8675","70.8000","71.1406","70.4448","","0.21%"
"07/10/2020","70.7220","70.7935","71.4400","70.6179","","0.09%"
"07/09/2020","70.6570","71.2449","71.4125","70.4815","","-0.62%"
"07/08/2020","71.1012","71.4530","71.7778","71.0358","","-0.14%"
"07/07/2020","71.1981","71.7770","72.3500","71.2234","","-0.50%"
"07/06/2020","71.5550","71.3700","72.1431","70.7943","","0.40%"
"07/03/2020","71.2680","70.6100","71.7155","70.2264","","1.12%"
"07/02/2020","70.4800","70.6890","70.8028","70.1830","","-0.21%"
"07/01/2020","70.6275","71.1513","71.3438","70.5500","","-0.64%"
"06/30/2020","71.0825","70.0983","71.3668","69.9814","","1.52%"
"06/29/2020","70.0180","69.7712","70.4685","69.5530","","0.57%"
"06/26/2020","69.6220","69.0535","70.0230","68.9325","","0.97%"
"06/25/2020","68.9550","69.6150","69.7692","68.9910","","-0.88%"
"06/24/2020","69.5652","68.7061","69.6741","68.6238","","1.23%"
"06/23/2020","68.7200","69.1248","69.6495","68.5465","","-0.30%"
"06/22/2020","68.9300","69.6868","69.8438","68.9559","","-0.57%"
"06/19/2020","69.3260","69.9125","70.1168","69.1745","","0.01%"
"06/18/2020","69.3175","69.6474","70.0555","69.1500","","-0.38%"
"06/17/2020","69.5842","69.7180","69.9408","69.2529","","0.02%"
"06/16/2020","69.5725","69.7345","69.9938","69.1649","","0.03%"
"06/15/2020","69.5525","69.6482","70.5737","69.4750","","-0.03%"
"06/12/2020","69.5700","70.1650","70.5270","69.1700","","-0.71%"
"06/11/2020","70.0640","68.4864","70.2530","68.2878","","2.52%"
"06/10/2020","68.3400","68.7238","68.9750","68.1902","","-0.33%"
"06/09/2020","68.5675","68.2165","68.9570","68.0383","","0.61%"
"06/08/2020","68.1550","68.4095","68.7060","68.0095","","-0.62%"
"06/05/2020","68.5820","69.1478","69.2070","68.2500","","-0.59%"
"06/04/2020","68.9900","68.5941","69.5939","68.3750","","0.74%"
"06/03/2020","68.4866","68.6392","68.9785","68.1743","","-0.18%"
"06/02/2020","68.6100","69.0306","69.2705","68.5700","","-0.48%"
"06/01/2020","68.9396","70.3050","70.4250","68.9635","","-1.71%"
"05/29/2020","70.1425","70.3545","70.8825","70.1016","","-0.42%"
"05/28/2020","70.4400","70.9722","71.2697","70.1335","","-0.73%"
"05/27/2020","70.9555","70.8010","71.4930","70.6106","","0.42%"
"05/26/2020","70.6620","71.6775","71.7642","70.6045","","-1.28%"
